trial,model,first_crossing_time,max_distinguishability
0,stochastic_noise,,0.06815783921758983
1,stochastic_noise,,0.040864347588477415
2,stochastic_noise,,0.047810582128544714
3,stochastic_noise,,0.06564358699347995
4,stochastic_noise,,0.06816292024651294
5,stochastic_noise,,0.052097036215449366
6,stochastic_noise,,0.07460363993781388
7,stochastic_noise,,0.04350181186733272
8,stochastic_noise,,0.06115557126579375
9,stochastic_noise,,0.060455708381593164
10,stochastic_noise,,0.04388591734905372
11,stochastic_noise,,0.04851466277877364
12,stochastic_noise,,0.06336586180385839
13,stochastic_noise,,0.06252555908862302
14,stochastic_noise,,0.04583543484861495
15,stochastic_noise,,0.06481454872163175
16,stochastic_noise,,0.060315466484156637
17,stochastic_noise,,0.052721302182485226
18,stochastic_noise,,0.05836833343980659
19,stochastic_noise,,0.05442797634211656
20,stochastic_noise,,0.041424084947072344
21,stochastic_noise,,0.046229081156936386
22,stochastic_noise,,0.0756036672887773
23,stochastic_noise,,0.054988336625204685
24,stochastic_noise,,0.04499905676633235
25,stochastic_noise,,0.07165789930471636
26,stochastic_noise,,0.05361966107632161
27,stochastic_noise,,0.04540448173710381
28,stochastic_noise,,0.05867491129416709
29,stochastic_noise,,0.05647140127292424
30,stochastic_noise,,0.0610275177568944
31,stochastic_noise,,0.06466371102511703
32,stochastic_noise,,0.07052487930349949
33,stochastic_noise,,0.053539896841341854
34,stochastic_noise,,0.05961189849636431
35,stochastic_noise,,0.07610613550565641
36,stochastic_noise,,0.05594883610143196
37,stochastic_noise,,0.04856460243896039
38,stochastic_noise,,0.05605422424485115
39,stochastic_noise,,0.05813996991906172
40,stochastic_noise,,0.061212844871905654
41,stochastic_noise,,0.054071931884256
42,stochastic_noise,,0.04380157438710572
43,stochastic_noise,,0.04671316007631648
44,stochastic_noise,,0.07276632732461671
45,stochastic_noise,,0.05820768270425514
46,stochastic_noise,,0.06458492115299962
47,stochastic_noise,,0.05682053241183182
48,stochastic_noise,,0.07014207130455327
49,stochastic_noise,,0.07158636495542611
50,stochastic_noise,,0.04791433834780424
51,stochastic_noise,,0.06115604748431404
52,stochastic_noise,,0.05757121088092064
53,stochastic_noise,,0.055585250240028354
54,stochastic_noise,,0.05578484761565877
55,stochastic_noise,,0.07814829069307071
56,stochastic_noise,,0.061402075792871595
57,stochastic_noise,,0.05528109790662097
58,stochastic_noise,,0.04957258574730427
59,stochastic_noise,,0.04614289287306472
60,stochastic_noise,,0.06011257291319798
61,stochastic_noise,,0.051161465138409086
62,stochastic_noise,,0.06396182621705727
63,stochastic_noise,,0.0721210886797982
64,stochastic_noise,,0.07288916657898584
65,stochastic_noise,,0.06687991198959713
66,stochastic_noise,,0.049025256100813125
