time,linear_baseline,toy_nonlinear_amplification,toy_stochastic_comparison
0.0,0.02,0.02,0.02
0.05,0.02,0.020647036822716628,0.019920481933411466
0.1,0.02,0.02131455119841041,0.02270954784320621
0.15000000000000002,0.02,0.022003161321868067,0.0236143409165387
0.2,0.02,0.022713502090993775,0.029955450156226148
0.25,0.02,0.023446225427959166,0.030801738639297697
0.30000000000000004,0.02,0.024202000597321926,0.039153375204874094
0.35000000000000003,0.02,0.024981514520271985,0.036491959404228225
0.4,0.02,0.02578547208410243,0.036286848741829594
0.45,0.02,0.02661459644593824,0.03657794746197149
0.5,0.02,0.02746962932968839,0.03945992090996805
0.55,0.02,0.0283513313151167,0.051720979529566724
0.6000000000000001,0.02,0.029260482117853603,0.054464008746115636
0.65,0.02,0.030197880859094705,0.06245491276539615
0.7000000000000001,0.02,0.03116434632365298,0.06395066413581245
0.75,0.02,0.03216071720494912,0.06177764411388063
0.8,0.02,0.03318785233543985,0.057964430518057886
0.8500000000000001,0.02,0.03424663090089618,0.05786859754844454
0.9,0.02,0.03533795263685266,0.0502358367715054
0.9500000000000001,0.02,0.03646273800545654,0.04811015790836354
1.0,0.02,0.037621928350849175,0.05235505413520563
1.05,0.02,0.038816486031115004,0.05108095114137402
1.1,0.02,0.04004739452473353,0.04621703177802599
1.1500000000000001,0.02,0.04131565850936788,0.03368840069490374
1.2000000000000002,0.02,0.04262230391072098,0.0365637061569019
1.25,0.02,0.04396837791908595,0.03490372099430196
1.3,0.02,0.04535494897111265,0.04820573241018279
1.35,0.02,0.04678310669420725,0.05658495953052437
1.4000000000000001,0.02,0.048253961810876836,0.053875295805855386
1.4500000000000002,0.02,0.04976864600022679,0.04978982789576834
1.5,0.02,0.05132831171371648,0.04961409127122706
1.55,0.02,0.052934131942178025,0.05006470201047484
1.6,0.02,0.05458729993100507,0.035846217657222255
1.6500000000000001,0.02,0.05628902884032502,0.025095397523568326
1.7000000000000002,0.02,0.058040551346878556,0.023029987629026565
1.75,0.02,0.05984311918424667,0.03200539064110073
1.8,0.02,0.06169800261798837,0.030052694229605256
1.85,0.02,0.0636064898521829,0.02676575450506103
1.9000000000000001,0.02,0.06556988636381067,0.010396102359969085
1.9500000000000002,0.02,0.06758951416135654,0.0033293542363316843
2.0,0.02,0.06966671096398189,0.011892855002083006
2.0500000000000003,0.02,0.07180282929758666,0.008539975900455523
2.1,0.02,0.07399923550407317,0.007546052549050812
2.15,0.02,0.07625730866012984,0.008854010317982686
2.2,0.02,0.07857843940187814,0.019048830912891477
2.25,0.02,0.0809640286517704,0.008431902873417349
2.3000000000000003,0.02,0.0834154862441942,0.005917889082142115
2.35,0.02,0.08593422944632809,0.0014372826907903102
2.4000000000000004,0.02,0.08852168137091102,0.0006576753130975461
2.45,0.02,0.0911792692777315,0.0020423107097219868
2.5,0.02,0.09390842276081628,0.0
2.5500000000000003,0.02,0.09671057181850436,0.00021323257743755724
2.6,0.02,0.09958714480383134,0.0
2.6500000000000004,0.02,0.10253956625292415,0.0018853433627654512
2.7,0.02,0.10556925458941917,0.0
2.75,0.02,0.10867761970326875,0.010795920414613011
2.8000000000000003,0.02,0.11186606040269395,0.012039553492803515
2.85,0.02,0.11513596173847751,0.013835505645892034
2.9000000000000004,0.02,0.11848869220027063,0.014679224109440496
2.95,0.02,0.12192560078511112,0.01135130709459375
3.0,0.02,0.1254480139389224,0.010784757561747887
3.0500000000000003,0.02,0.12905723237237832,0.018080244903315106
3.1,0.02,0.1327545277531835,0.02042741342628317
3.1500000000000004,0.02,0.13654113927752873,0.007125404888358252
3.2,0.02,0.14041827012423727,0.0008015292953830567
3.25,0.02,0.14438708379591833,0.003616226824456981
3.3000000000000003,0.02,0.14844870035228847,0.010293681531948063
3.35,0.02,0.15260419254170773,0.019644517326285634
3.4000000000000004,0.02,0.15685458183789971,0.020086064880996228
3.45,0.02,0.16120083438978328,0.020869646566118633
3.5,0.02,0.1656438568933358,0.024499501021028693
3.5500000000000003,0.02,0.17018449239541913,0.028858509681864996
3.6,0.02,0.17482351604053994,0.026841665048950487
3.6500000000000004,0.02,0.17956163077256437,0.030634050707345914
3.7,0.02,0.18439946300446605,0.03166490048821669
3.75,0.02,0.1893375582702439,0.03771996573445977
3.8000000000000003,0.02,0.1943763768741959,0.029993117427991146
3.85,0.02,0.19951628955376474,0.025394048861813505
3.9000000000000004,0.02,0.20475757317317675,0.029128330860802402
3.95,0.02,0.2101004064660569,0.029340305193199273
4.0,0.02,0.2155448658461211,0.029265428970094192
4.05,0.02,0.22109092130589977,0.026038125865063873
4.1000000000000005,0.02,0.22673843242422614,0.015366384522876904
4.15,0.02,0.2324871445039211,0.0167470602562927
4.2,0.02,0.23833668486170353,0.018882879786389972
4.25,0.02,0.24428655929283932,0.02157418626352436
4.3,0.02,0.25033614873341287,0.02587529071115181
4.3500000000000005,0.02,0.2564847061433296,0.022026874900699864
4.4,0.02,0.2627313536332444,0.02173479247225287
4.45,0.02,0.26907507985853985,0.019272277764115178
4.5,0.02,0.2755147377032317,0.025512802680199096
4.55,0.02,0.28204904227626837,0.022442985590603242
4.6000000000000005,0.02,0.28867656924208895,0.022005305107094024
4.65,0.02,0.2953957535065111,0.02155043960479962
4.7,0.02,0.30220488827804093,0.015192942651042865
4.75,0.02,0.309102124523507,0.014239143673563694
4.800000000000001,0.02,0.31608547083554644,0.01408849597192771
4.8500000000000005,0.02,0.3231527937278903,0.013682720973834387
4.9,0.02,0.3303018183726275,0.015528153356501541
4.95,0.02,0.33753012979166636,0.024420534673916982
5.0,0.02,0.34483517451248125,0.028824051310311325
5.050000000000001,0.02,0.3522142626959283,0.028585608372999026
5.1000000000000005,0.02,0.3596645707414569,0.01973913359390083
